 ;AAA;Current boundaries as at ;    ;20130111                 ; ;                         ;    ;
D;FED;ARTEKERRE                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARUMBERA                 ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;ATARTINGA STN            ;0872;LINGIARI                 ;Y;WOODGREEN STN            ;0872;
D;FED;ATHELEY                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ATITJERE                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ATJI CREEK               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ATNARARA                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ATNELTYEY                ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ATNWENGERRPE             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ATULA STN                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AUSTRAL DOWNS STN        ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;AUVERGNE STN             ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;AVAGO STN                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;AVON DOWNS STN           ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;AWUMBUNYJI               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;AYERS ROCK               ;0872;LINGIARI                 ;Y;YULARA                   ;0872;
D;FED;BABUNGI                  ;0854;LINGIARI                 ;N;                         ;    ;
D;FED;BADAWARRKA               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BAGHETTI                 ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BAGOT                    ;0820;SOLOMON                  ;N;                         ;    ;
D;FED;BAJAMINYI                ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BAKEWELL                 ;0832;SOLOMON                  ;N;                         ;    ;
D;FED;BALAY BALAY              ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BALBIRINI STN            ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BALMA                    ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BAMAMARRAKKAKANORA       ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BAMBOO SPRINGS           ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BAMYILI                  ;0852;LINGIARI                 ;Y;BARUNGA                  ;0852;
D;FED;BAN BAN SPRINGS          ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BANATJARL                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BANIYALA                 ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BANJO STN                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BANKA BANKA STN          ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BANTHULA                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BARAMINGI                ;0862;LINGIARI                 ;Y;BAJAMINYI                ;0862;
D;FED;BARDALUMBA               ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BARK HUT INN             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BARKIRAT                 ;0822;LINGIARI                 ;Y;GALIWINKU                ;0822;
D;FED;BARKLY HOMESTEAD         ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BARNJARN                 ;0852;LINGIARI                 ;Y;WERENBUN                 ;0852;
D;FED;BARRAK BARRAK            ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BARRAPUNTA               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BARRARATJPI              ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BARRIHDJOWKENG           ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BARRKIRA                 ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BARROW CREEK             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BARTALUMBA BAY           ;0822;LINGIARI                 ;Y;BARDALUMBA               ;0822;
D;FED;BARUNGA                  ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BASSO'S FARM             ;0870;LINGIARI                 ;Y;ITWIYETHWENGE            ;0870;
D;FED;BATCHELOR                ;0845;LINGIARI                 ;N;                         ;    ;
D;FED;BATHURST ISLAND          ;0822;LINGIARI                 ;Y;WURRUMIYANGA             ;0822;
D;FED;BAUHINIA DOWNS           ;0854;LINGIARI                 ;N;                         ;    ;
D;FED;BAWAKA                   ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BAYAGIDA                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BAYGURRTJI               ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BAYVIEW                  ;0820;SOLOMON                  ;N;                         ;    ;
D;FED;BAYVIEW HAVEN            ;0820;SOLOMON                  ;Y;BAYVIEW                  ;0820;
D;FED;BEER ST BORE             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BEES CREEK               ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BEETALOO STN             ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BELLAMACK                ;0832;SOLOMON                  ;N;                         ;    ;
D;FED;BELYUEN                  ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BENMARA                  ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BERRAJA                  ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BERRIMAH                 ;0828;SOLOMON                  ;N;                         ;    ;
D;FED;BERRY SPRINGS            ;0838;LINGIARI                 ;N;                         ;    ;
D;FED;BESWICK                  ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BIDIDA                   ;0852;LINGIARI                 ;Y;YANGULINYINA             ;0854;
D;FED;BIG RIVER STN            ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BILLENGARRAH STN         ;0854;LINGIARI                 ;N;                         ;    ;
D;FED;BING BONG STN            ;0854;LINGIARI                 ;N;                         ;    ;
D;FED;BINJARI                  ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BIRANY BIRANY            ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;BIRDUM CREEK STN         ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BIRRIMBA STN             ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BIRRINDUDU STN           ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BIRRITJIMI               ;0880;LINGIARI                 ;Y;WALLABY BEACH            ;0880;
D;FED;BISHOPS BORE             ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BLACK JUNGLE             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BLACKMORE                ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BLACKTANK BORE           ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BLACKWATER               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BLOODWOOD BORE           ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BLOODWOOD DOWNS STN      ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BLUE BUSH                ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BLUEBERRY HILL           ;0860;LINGIARI                 ;Y;MUNJI-MARLA              ;0860;
D;FED;BOB'S YARD               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BODIA                    ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BOLKDJAM                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BONALBO STN              ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;BOND SPRINGS STN         ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BONE LAGOON              ;0854;LINGIARI                 ;Y;WADA WARRA               ;0854;
D;FED;BONROOK STN              ;0847;LINGIARI                 ;N;                         ;    ;
D;FED;BONYA BAIKAL             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;BOOMERANG BORE           ;0872;LINGIARI                 ;Y;HENBURY STN              ;0872;
D;FED;BOOMERANG LAGOON         ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;BOOTU CREEK MINE         ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;BOROGOMARRA              ;0820;LINGIARI                 ;N;                         ;    ;
D;FED;BORROLOOLA               ;0854;LINGIARI                 ;N;                         ;    ;
D;FED;BORUWUY                  ;0880;LINGIARI                 ;Y;WANDAWUY                 ;0880;
